Abridger|abr|A person, family, or organization contributing to a resource by shortening or condensing the original work but leaving the nature and content of the original work substantially unchanged. For substantial modifications that result in the creation of a new work, see author
Actor|act|A performer contributing to an expression of a work by acting as a cast member or player in a musical or dramatic presentation, etc.
Adapter|adp|A person or organization who 1) reworks a musical composition, usually for a different medium, or 2) rewrites novels or stories for motion pictures or other audiovisual medium.
Addressee|rcp|A person, family, or organization to whom the correspondence in a work is addressed UF Recipient
Analyst|anl|A person or organization that reviews, examines and interprets data or information in a specific area
Animator|anm|A person contributing to a moving image work or computer program by giving apparent movement to inanimate objects or drawings. For the creator of the drawings that are animated, see artist
Annotator|ann|A person who makes manuscript annotations on an item
Appellant|apl|A person or organization who appeals a lower court's decision
Appellee|ape|A person or organization against whom an appeal is taken
Applicant|app|A person or organization responsible for the submission of an application or who is named as eligible for the results of the processing of the application (e.g., bestowing of rights, reward, title, position)
Architect|arc|A person, family, or organization responsible for creating an architectural design, including a pictorial representation intended to show how a building, etc., will look when completed. It also oversees the construction of structures
Arranger|arr|A person, family, or organization contributing to a musical work by rewriting the composition for a medium of performance different from that for which the work was originally intended, or modifying the work for the same medium of performance, etc., such that the musical substance of the original composition remains essentially unchanged. For extensive modification that effectively results in the creation of a new musical work, see composer UF Arranger of music Arranger of music
USE Arranger
Art copyist|acp|A person (e.g., a painter or sculptor) who makes copies of works of visual art
Art director|adi|A person contributing to a motion picture or television production by overseeing the artists and craftspeople who build the sets
Artist|art|A person, family, or organization responsible for creating a work by conceiving, and implementing, an original graphic design, drawing, painting, etc. For book illustrators, prefer Illustrator|ill|UF Graphic technician
Artistic director|ard|A person responsible for controlling the development of the artistic style of an entire production, including the choice of works to be presented and selection of senior production staff
Assignee|asg|A person or organization to whom a license for printing or publishing has been transferred
Associated name|asn|A person or organization associated with or found in an item or collection, which cannot be determined to be that of a Former owner|fmo| or other designated relationship indicative of provenance
Attributed name|att|An author, artist, etc., relating him/her to a resource for which there is or once was substantial authority for designating that person as author, creator, etc. of the work
UF Supposed name
Auctioneer|auc|A person or organization in charge of the estimation and public auctioning of goods, particularly books, artistic works, etc.
Author|aut|A person, family, or organization responsible for creating a work that is primarily textual in content, regardless of media type (e.g., printed text, spoken word, electronic text, tactile text) or genre (e.g., poems, novels, screenplays, blogs). Use also for persons, etc., creating a new work by paraphrasing, rewriting, or adapting works by another creator such that the modification has substantially changed the nature and content of the original or changed the medium of expression
UF Joint author
Author in quotations or text abstracts|aqt|A person or organization whose work is largely quoted or extracted in works to which he or she did not contribute directly. Such quotations are found particularly in exhibition catalogs, collections of photographs, etc.
Author of afterword, colophon, etc.|aft|A person or organization responsible for an afterword, postface, colophon, etc. but who is not the chief author of a work
Author of dialog|aud|A person or organization responsible for the dialog or spoken commentary for a screenplay or sound recording
Author of introduction, etc.|aui|A person or organization responsible for an introduction, preface, foreword, or other critical introductory matter, but who is not the chief author Author of screenplay, etc. USE Screenwriter
Autographer|ato|A person whose manuscript signature appears on an item
Bibliographic antecedent|ant|A person or organization responsible for a resource upon which the resource represented by the bibliographic description is based. This may be appropriate for adaptations, sequels, continuations, indexes, etc.
Binder|bnd|A person who binds an item
Binding designer|bdd|A person or organization responsible for the binding design of a book, including the type of binding, the type of materials used, and any decorative aspects of the binding UF Designer of binding, Blurb writer|blw|A person or organization responsible for writing a commendation or testimonial for a work, which appears on or within the publication itself, frequently on the back or dust jacket of print publications or on advertising material for all media
Book designer|bkd|A person or organization involved in manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used, UF Designer of book, UF Designer of e-book
Book producer|bkp|A person or organization responsible for the production of books and other print media , UF Producer of book
Bookjacket designer|bjd|A person or organization responsible for the design of flexible covers designed for or published with a book, including the type of materials used, and any decorative aspects of the bookjacket, UF Designer of bookjacket
Bookplate designer|bpd|A person or organization responsible for the design of a book owner's identification label that is most commonly pasted to the inside front cover of a book
Bookseller|bsl|A person or organization who makes books and other bibliographic materials available for purchase. Interest in the materials is primarily lucrative
